管线类别		管线表内容	数据表格名称	说  明	table_name			a
电 力	供电	管段	T81010101		DL_GD_L	52	T81010101	27638
（DL）		管点	T81010102		DL_GD_P	53	T81010102	43789
		附属设施（面）	T81010103		DL_GD_A	54	T81010103	2478
	路灯	管段	T81010201		DL_LD_L	55	T81010201	34531
		管点	T81010202		DL_LD_P	56	T81010202	35158
		附属设施（面）	T81010203		DL_LD_A	57	T81010203	36
	电车	管段	T81010301		DL_DC_L	58	T81010301	815
		管点	T81010302		DL_DC_P	59	T81010302	1019
		附属设施（面）	T81010303		DL_DC_A	60	T81010303	52
	交通信号灯	管段	T81010401		DL_JTXHD_L	61	T81010401	10958
		管点	T81010402		DL_JTXHD_P	62	T81010402	11321
		附属设施（面）	T81010403		DL_JTXHD_A	63	T81010403	2
	广告景观灯	管段	T81010501	包括绿化、景观、广告灯等	DL_GGJGD_L	64	T81010501	300
		管点	T81010502		DL_GGJGD_P	65	T81010502	324
		附属设施（面）	T81010503		DL_GGJGD_A	66	T81010503	0
	直流专用线路	管段	T81010601		DL_ZLZYXL_L	67	T81010601	0
		管点	T81010602		DL_ZLZYXL_P	68	T81010602	0
		附属设施（面）	T81010603		DL_ZLZYXL_A	69	T81010603	0
	电力通讯	管段	T81010701		DL_DLTX_L	1	T81010701	3284
		管点	T81010702		DL_DLTX_P	2	T81010702	6494
		附属设施（面）	T81010703		DL_DLTX_A	3	T81010703	529
	其他	管段	T81019901		DL_QT_L	4	T81019901	0
		管点	T81019902		DL_QT_P	5	T81019902	0
		附属设施（面）	T81019903		DL_QT_A	6	T81019903	0
通 信	电信电缆	管段	T81020101	包括电信、移动、联通等	TX_DXDL_L	7	T81020101	29052
（TX）		管点	T81020102		TX_DXDL_P	8	T81020102	37207
		附属设施（面）	T81020103		TX_DXDL_A	9	T81020103	1541
	广播电视	管段	T81020201		TX_GBDS_L	10	T81020201	13130
		管点	T81020202		TX_GBDS_P	11	T81020202	13320
		附属设施（面）	T81020203		TX_GBDS_A	12	T81020203	19
	信息	管段	T81020301		TX_XX_L	13	T81020301	53156
		管点	T81020302		TX_XX_P	14	T81020302	54166
		附属设施（面）	T81020303		TX_XX_A	15	T81020303	352
	监控	管段	T81020401		TX_JK_L	16	T81020401	13349
		管点	T81020402		TX_JK_P	17	T81020402	14955
		附属设施（面）	T81020403		TX_JK_A	18	T81020403	54
	专线	管段	T81020501		TX_ZX_L	19	T81020501	587
		管点	T81020502		TX_ZX_P	20	T81020502	598
		附属设施（面）	T81020503		TX_ZX_A	21	T81020503	0
	其他	管段	T81029901		TX_QT_L	22	T81029901	548
		管点	T81029902		TX_QT_P	23	T81029902	557
		附属设施（面）	T81029903		TX_QT_A	24	T81029903	0
给 水	上水	管段	T81030101	包括饮用水、直饮水等	JS_SS_L	25	T81030101	35523
（JS）		管点	T81030102		JS_SS_P	26	T81030102	35517
		附属设施（面）	T81030103		JS_SS_A	27	T81030103	50
	原水	管段	T81030201		JS_YS_L	28	T81030201	0
		管点	T81030202		JS_YS_P	29	T81030202	0
		附属设施（面）	T81030203		JS_YS_A	30	T81030203	0
	中水	管段	T81030301		JS_ZS_L	31	T81030301	0
		管点	T81030302		JS_ZS_P	32	T81030302	0
		附属设施（面）	T81030303		JS_ZS_A	33	T81030303	0
	消防	管段	T81030401		JS_XF_L	34	T81030401	0
		管点	T81030402		JS_XF_P	35	T81030402	0
		附属设施（面）	T81030403		JS_XF_A	36	T81030403	0
	绿化	管段	T81030501		JS_LH_L	37	T81030501	0
		管点	T81030502		JS_LH_P	38	T81030502	0
		附属设施（面）	T81030503		JS_LH_A	39	T81030503	0
	其他	管段	T81039901		JS_QT_L	40	T81039901	0
		管点	T81039902		JS_QT_P	41	T81039902	0
		附属设施（面）	T81039903		JS_QT_A	42	T81039903	0
排 水	雨水	管段	T81040101		PS_YS_L	43	T81040101	51492
（PS）		管点	T81040102		PS_YS_P	44	T81040102	52453
		附属设施（面）	T81040103		PS_YS_A	45	T81040103	98
	污水	管段	T81040201		PS_WS_L	46	T81040201	13956
		管点	T81040202		PS_WS_P	47	T81040202	14484
		附属设施（面）	T81040203		PS_WS_A	48	T81040203	70
	雨污合流	管段	T81040301		PS_YWHL_L	49	T81040301	0
		管点	T81040302		PS_YWHL_P	50	T81040302	0
		附属设施（面）	T81040303		PS_YWHL_A	51	T81040303	0
	其他	管段	T81049901		PS_QT_L	70	T81049901	0
		管点	T81049902		PS_QT_P	71	T81049902	0
		附属设施（面）	T81049903		PS_QT_A	72	T81049903	0
燃 气	煤气	管段	T81050101		RQ_MQ_L	73	T81050101	0
（RQ）		管点	T81050102		RQ_MQ_P	74	T81050102	0
		附属设施（面）	T81050103		RQ_MQ_A	75	T81050103	0
	天然气	管段	T81050201		RQ_TRQ_L	76	T81050201	9082
